MAE Error,RMSE Error,PCC Coefficient
0.014777593250566034,0.025873378502023058,0.99999154
0.00928834392160448,0.01828214608642694,0.99999213
0.004039483327515422,0.01490609263301119,0.9999882
0.021295151486307635,0.038147887730587915,0.9999831
0.003069445423377064,0.009330670592351084,0.9999953
0.013158760557482451,0.02736739724042551,0.9999799
0.007707887173842705,0.018037702846610645,0.9999937
0.009625239523436089,0.02323922742950212,0.99997747
0.04162747659474121,0.07332453943712852,0.99994713
0.04567786974315654,0.07443257471363074,0.9999764
0.01662230700817234,0.037492525227108206,0.99992955
0.008634862242879633,0.015903140838216572,0.99999464
0.022372701013778157,0.039988501677330396,0.9999624
0.013795086022809227,0.024435841757736713,0.9999901
0.0044796422773748625,0.012419062899868159,0.9999925
0.01347080718926512,0.025359543264648093,0.9999809
0.04786173472174077,0.08625976619851984,0.99988145
0.031183689842909867,0.054651853482610785,0.9999638
0.01780767668198901,0.06357094255012215,0.9998084
0.033851687458764504,0.05487902191029579,0.9999822
0.0038068935797114117,0.013092640575867986,0.99999565
0.011678621290064266,0.025241753474233485,0.99998367
0.005967695450113601,0.021282196255534413,0.99998355
0.014230938339912057,0.025087394437972473,0.99999034
0.00915768786513104,0.020906094884911144,0.99998814
0.009469051774886736,0.018723692565105532,0.9999892
0.1544276526250288,0.24551233779495743,0.99977165
0.011320487567023039,0.020104301786609716,0.99999315
0.003846929204254816,0.012109511727427733,0.99999404
0.022438530423635226,0.03765079239249219,0.9999883
0.03591735398644834,0.06098764437080918,0.9999728
0.008252316331393757,0.014946273471274155,0.99999565
0.017725083853430308,0.03261648850113596,0.99998045
0.005296375059299991,0.01288573676558076,0.9999914
0.005543570429673787,0.015918406104952227,0.99999094
0.026720832894595082,0.05184568923285675,0.99992484
0.010558353401770262,0.018390871780218917,0.99999064
0.00820200131585181,0.01727977450976747,0.99999136
0.011138847312015109,0.02285682894508905,0.9999876
0.004608107825849935,0.014050984887097287,0.9999924
0.008439895094225863,0.020706104541459266,0.99998033
0.05378790758518064,0.09073411416121088,0.99993163
0.010360678691211687,0.021232973505524683,0.9999875
0.009888476121149375,0.021280811579149947,0.99997747
0.012366454751277418,0.02243292554109676,0.99998915
0.056155240168541634,0.09704462484632546,0.99992883
0.019648014723370237,0.040985566482590524,0.9999647
0.018522712766323404,0.033174533553596085,0.9999814
0.004602828024502272,0.009920339903865922,0.99999654
0.011653226312648111,0.02426385119805542,0.99997103
0.05039726880649874,0.08100240689295497,0.99997085
0.0047382217404762905,0.013691899901166696,0.9999924
0.022161581073111506,0.03957696364033665,0.9999715
0.0072980124362921886,0.02214588458318984,0.9999808
0.006331313005923708,0.013228095821181826,0.99999577
0.043330447827341696,0.07980028475274518,0.99990624
0.008723645632551924,0.020716307096425673,0.99999297
0.016385675800237122,0.030530407044528078,0.9999861
0.0038468616956028254,0.010113326321627997,0.99999475
0.005316740149743348,0.012257360816330198,0.99999374
0.005937256592239844,0.012758738975501073,0.9999937
0.07771668018846974,0.12649917993071147,0.9999392
0.019369888011517504,0.035638116263753454,0.99997866
0.009354313061434878,0.0195238458875369,0.9999926
0.006364461957584726,0.012218627987140995,0.99999535
0.007497462635183514,0.014985616814522026,0.99999356
0.011225213916973743,0.02047540096979373,0.99999195
0.01083537739841799,0.022750506745210817,0.99997544
0.024383581274657413,0.052016564866127754,0.9998652
0.009835957389761684,0.019494944648171763,0.99999195
0.0067520465856939944,0.018405473071491898,0.9999812
0.026931465879809876,0.044584937590166046,0.99998665
0.06072523060385889,0.08930530656587017,0.9999667
0.020116238998965277,0.035604703480419206,0.9999809
0.02214001409476932,0.035621011489162135,0.99999225
0.014223600444955742,0.03061791319578084,0.9999766
0.004280777553841763,0.012327110801259962,0.99999154
0.020869421738040433,0.03917427687067836,0.9999716
0.020084612965471437,0.038468177636878494,0.99997866
0.010421645756865794,0.028568649959357074,0.999974
0.006383239636504741,0.012571542279907689,0.99999523
0.009838890006188417,0.018000716648909308,0.9999912
0.009139112365053612,0.018870031088073523,0.9999831
0.027338537839257826,0.04493933877306254,0.99997985
0.01693672798994516,0.030055532249051872,0.9999801
0.024523995309679043,0.041764207675142065,0.99998426
0.01621751307470904,0.03284085259751562,0.9999753
0.03333423474150908,0.062113563444801054,0.99993575
0.00920670298871276,0.01744089166651367,0.9999901
0.014873834821545103,0.02982767004897483,0.9999886
0.02284821173456767,0.03790071316192393,0.9999881
0.003000755601263023,0.011529596249868537,0.9999934
0.004284616056463139,0.013667059440689733,0.9999914
0.004425406108232811,0.012178616174324343,0.99999225
0.008496455154004814,0.03494761551247414,0.9999719
0.007924490330033604,0.02395949241815414,0.9999702
0.006712086287557318,0.01671101567224454,0.99999213
0.02788218874948721,0.04958394256170674,0.9999699
0.006274265838659618,0.016110910225999753,0.9999917
0.015476426109720106,0.029792561652995837,0.999972
0.007502059067734093,0.013998670646105806,0.99999446
0.020602434694887296,0.03605519774124579,0.99998415
0.008070349939272666,0.016438727670139285,0.9999931
0.0060279234702804675,0.01692573834497321,0.9999837
0.008432304489992331,0.01842323009476823,0.99998945
0.01197301462418691,0.0216669519101232,0.99999267
0.007296822489242779,0.026350191000404578,0.9999677
0.005311438903511622,0.012508249155447348,0.9999915
0.05271892951876521,0.09286161511872201,0.99989295
0.01721326169278576,0.03182241740058559,0.99998295
0.005947597118467401,0.01194074513502098,0.99999493
0.04908136886487865,0.07976286217683343,0.9999697
0.015104272462483914,0.026995667645401983,0.9999798
0.006443044076880993,0.015877625038784787,0.9999873
0.04361841534986734,0.07188699534674706,0.999977
